tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:바빴어요.mp3]	바<span class="불규칙">빴</span>어요<p class="small">(*바<span class="불규칙">ㅃ았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">바쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">바빠요</div><div class="과거">바빴어요</div><div class="미래">바쁠 거예요</div></div><div class="bloc"><div class="고">바쁘고</div><div class="지만">바쁘지만</div><div class="는데">바쁜데</div><div class="면">바쁘면</div></div></div>	il était occupé<p class="small">(해요체, registre informel poli)</p>
[sound:바쁠_거예요.mp3]	바쁠 거예요<div class="활용"><div class="bloc"><div class="부정사">바쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">바빠요</div><div class="과거">바빴어요</div><div class="미래">바쁠 거예요</div></div><div class="bloc"><div class="고">바쁘고</div><div class="지만">바쁘지만</div><div class="는데">바쁜데</div><div class="면">바쁘면</div></div></div>	il sera occupé<p class="small">(해요체, registre informel poli)</p>

[sound:반갑습니다.mp3]	반갑습니다<p class="발음">[반갑<span style="font-weight: bold">씀</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div><div class="과거">반가웠어요</div><div class="미래">반가울 거예요</div></div><div class="bloc"><div class="고">반갑고</div><div class="지만">반갑지만</div><div class="는데">반가운데</div><div class="면">반가우면</div></div></div>	il est enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(하십시오체, registre formel poli)</p>
[sound:반가워요.mp3]	(만나서) 반가<span class="불규칙">워</span>요<p class="small">(*반가<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div><div class="과거">반가웠어요</div><div class="미래">반가울 거예요</div></div><div class="bloc"><div class="고">반갑고</div><div class="지만">반갑지만</div><div class="는데">반가운데</div><div class="면">반가우면</div></div></div>	il est enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(해요체, registre informel poli)</p>
[sound:반가웠어요.mp3]	반가<span class="불규칙">웠</span>어요<p class="small">(*반가<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div><div class="과거">반가웠어요</div><div class="미래">반가울 거예요</div></div><div class="bloc"><div class="고">반갑고</div><div class="지만">반갑지만</div><div class="는데">반가운데</div><div class="면">반가우면</div></div></div>	il était enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(해요체, registre informel poli)</p>
[sound:반가울_거예요.mp3]	반가<span class="불규칙">울</span> 거예요<p class="small">(*반가<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div><div class="과거">반가웠어요</div><div class="미래">반가울 거예요</div></div><div class="bloc"><div class="고">반갑고</div><div class="지만">반갑지만</div><div class="는데">반가운데</div><div class="면">반가우면</div></div></div>	il sera enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(해요체, registre informel poli)</p>

[sound:받아요.mp3]	받아요 <span class="발음">[바<span style="font-weight: bold">다</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">받다</div><div class="불규칙">(규칙동사)</div></div><div class="bloc"><div class="현재">받아요</div><div class="과거">받았어요</div><div class="미래">받을 거예요</div><div class="명령법">받으세요</div></div><div class="bloc"><div class="고">받고</div><div class="지만">받지만</div><div class="는데">받는데</div><div class="면">받으면</div></div></div>	il reçoit<p class="small">(해요체, registre informel poli)</p>
[sound:받았어요.mp3]	받았어요 <span class="발음">[바<span style="font-weight: bold">다</span>써요]</span><div class="활용"><div class="bloc"><div class="부정사">받다</div><div class="불규칙">(규칙동사)</div></div><div class="bloc"><div class="현재">받아요</div><div class="과거">받았어요</div><div class="미래">받을 거예요</div><div class="명령법">받으세요</div></div><div class="bloc"><div class="고">받고</div><div class="지만">받지만</div><div class="는데">받는데</div><div class="면">받으면</div></div></div>	il recevait<p class="small">(해요체, registre informel poli)</p>
[sound:받을_거예요.mp3]	받을 거예요 <span class="발음">[바<span style="font-weight: bold">들</span>]</span><div class="활용"><div class="bloc"><div class="부정사">받다</div><div class="불규칙">(규칙동사)</div></div><div class="bloc"><div class="현재">받아요</div><div class="과거">받았어요</div><div class="미래">받을 거예요</div><div class="명령법">받으세요</div></div><div class="bloc"><div class="고">받고</div><div class="지만">받지만</div><div class="는데">받는데</div><div class="면">받으면</div></div></div>	il recevra<p class="small">(해요체, registre informel poli)</p>

[sound:배고프다_시장하시다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">배고프다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div></div>	avoir faim<ul><li>adjectif irrégulier en “으”&nbsp;: ㅡ disparaît devant voyelle</li></ul>
[sound:배고파요.mp3]	배고<span class="불규칙">파</span>요<p class="small">(*배고<span class="불규칙">ㅍ아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">배고프다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">배고파요</div><div class="과거">배고팠어요</div><div class="미래">배고플 거예요</div></div><div class="bloc"><div class="고">배고프고</div><div class="지만">배고프지만</div><div class="는데">배고픈데</div><div class="면">배고프면</div></div></div>	il a faim<p class="small">(해요체, registre informel poli)</p>
[sound:배고팠어요.mp3]	배고<span class="불규칙">팠</span>어요<p class="small">(*배고<span class="불규칙">ㅍ았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">배고프다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">배고파요</div><div class="과거">배고팠어요</div><div class="미래">배고플 거예요</div></div><div class="bloc"><div class="고">배고프고</div><div class="지만">배고프지만</div><div class="는데">배고픈데</div><div class="면">배고프면</div></div></div>	il avait faim<p class="small">(해요체, registre informel poli)</p>
[sound:배고플_거예요.mp3]	배고플 거예요<div class="활용"><div class="bloc"><div class="부정사">배고프다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">배고파요</div><div class="과거">배고팠어요</div><div class="미래">배고플 거예요</div></div><div class="bloc"><div class="고">배고프고</div><div class="지만">배고프지만</div><div class="는데">배고픈데</div><div class="면">배고프면</div></div></div>	il aura faim<p class="small">(해요체, registre informel poli)</p>

[sound:배워요.mp3]	배<span class="불규칙">워</span>요<p class="small">(*배<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">배우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">배워요</div><div class="과거">배웠어요</div><div class="미래">배울 거예요</div><div class="명령법">배우세요</div></div><div class="bloc"><div class="고">배우고</div><div class="지만">배우지만</div><div class="는데">배우는데</div><div class="면">배우면</div></div></div>	il apprend<p class="small">(해요체, registre informel poli)</p>
[sound:배웠어요.mp3]	배<span class="불규칙">웠</span>어요<p class="small">(*배<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">배우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">배워요</div><div class="과거">배웠어요</div><div class="미래">배울 거예요</div><div class="명령법">배우세요</div></div><div class="bloc"><div class="고">배우고</div><div class="지만">배우지만</div><div class="는데">배우는데</div><div class="면">배우면</div></div></div>	il apprenait<p class="small">(해요체, registre informel poli)</p>
[sound:배울_거예요.mp3]	배<span class="불규칙">울</span> 거예요<p class="small">(*배<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">배우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">배워요</div><div class="과거">배웠어요</div><div class="미래">배울 거예요</div><div class="명령법">배우세요</div></div><div class="bloc"><div class="고">배우고</div><div class="지만">배우지만</div><div class="는데">배우는데</div><div class="면">배우면</div></div></div>	il apprendra<p class="small">(해요체, registre informel poli)</p>
